data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
30/07/2019,Segunda Extração,1004,9984,9361,2573,4384,1304,4084,9088,5681,0697
30/07/2019,Primeira Extração,0863,1708,2380,1221,9295,4404,1764,5461,4713,4931
29/07/2019,Segunda extração,5838,1781,2633,5205,1738,8948,3469,8298,7324,1761
29/07/2019,Primeira Extração,5167,8085,5114,2090,9897,4899,6557,4054,6568,8670
27/07/2019,Segunda Extração,4175,7611,9717,7062,1227,6576,6374,0699,6261,9933
27/07/2019,Primeira Extração,6909,1838,5253,4495,8233,1437,5178,9604,7931,0457
26/07/2019,Segunda extração,9040,9927,3575,4981,6989,4085,7638,6525,4026,4966
26/07/2019,Primeira Extração,6566,4185,2938,1935,8900,4016,4387,9538,1009,1697
25/07/2019,Segunda Extração,0081,9310,3751,0836,4230,5276,4519,9979,0085,3153
25/07/2019,Primeira Extração,6110,4955,3377,2601,9508,2469,5513,5224,7978,9961
24/07/2019,Segunda extração,3757,7218,6138,5972,4757,6080,2224,2401,8600,5802
24/07/2019,Primeira Extração,7716,3900,7771,7483,4305,5082,9064,5276,9335,2469
23/07/2019,Segunda Extração,2779,7554,9951,9969,5332,7165,6040,3202,8409,2685
23/07/2019,Primeira Extração,3911,8779,2683,9108,2870,1223,3923,6990,0361,4867
22/07/2019,Segunda extração,5268,1202,4423,2100,5396,0825,9378,7131,8374,0686
22/07/2019,Primeira Extração,1493,1160,4271,4930,4339,6262,3115,1367,4488,1631
20/07/2019,Segunda extração,4171,8690,1374,0259,7694,3691,3415,9093,9017,5930
20/07/2019,Primeira Extração,4082,6724,6418,0457,7905,4902,6246,5471,0314,3127
19/07/2019,Segunda Extração,4908,6001,8424,0991,5596,5072,9075,3367,3315,3762
19/07/2019,Primeira Extração,5281,6934,7670,0286,9310,1131,1790,9178,0727,9553
18/07/2019,Segunda Extração,0870,5595,1571,6371,5466,9712,2746,3150,3847,4356
